Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
312.0,Emanual Davis (2002-03),34.0,ATL,SG,24.0,1.0,14.2,1.3,3.7,0.364,0.3,1.2,0.241,1.0,2.5,0.424,0.403,0.7,0.9,0.773,0.2,1.6,1.8,1.5,0.5,0.1,1.0,1.2,3.7,,2002-03
313.0,Dan Dickau (2002-03),24.0,ATL,PG,50.0,0.0,10.3,1.4,3.4,0.412,0.4,1.2,0.361,1.0,2.2,0.44,0.476,0.4,0.5,0.808,0.2,0.7,0.9,1.7,0.3,0.0,1.1,1.3,3.7,,2002-03
314.0,Terence Morris (2002-03),24.0,HOU,SF,49.0,0.0,12.9,1.7,3.6,0.466,0.1,0.7,0.219,1.5,2.9,0.521,0.486,0.2,0.3,0.786,0.8,1.8,2.6,0.5,0.2,0.3,0.6,0.7,3.7,,2002-03
315.0,Chris Wilcox (2002-03),20.0,LAC,PF,46.0,3.0,10.4,1.6,3.0,0.521,0.0,0.0,,1.6,3.0,0.521,0.521,0.5,1.1,0.5,0.7,1.6,2.3,0.5,0.2,0.3,0.6,1.4,3.7,,2002-03
316.0,Ryan Bowen (2002-03),27.0,DEN,SG,62.0,31.0,16.1,1.6,3.2,0.492,0.0,0.1,0.286,1.5,3.1,0.5,0.497,0.4,0.7,0.659,1.3,1.3,2.5,0.9,1.0,0.5,0.7,1.3,3.6,,2002-03
317.0,Lavor Postell (2002-03),24.0,NYK,SG,12.0,0.0,8.2,1.2,3.2,0.368,0.2,0.6,0.286,1.0,2.6,0.387,0.395,1.1,1.3,0.867,0.1,0.3,0.3,0.3,0.2,0.0,0.6,0.8,3.6,,2002-03
318.0,Rick Brunson (2002-03),30.0,CHI,PG,17.0,0.0,11.5,1.4,2.9,0.46,0.2,0.4,0.667,1.1,2.6,0.432,0.5,0.6,0.7,0.833,0.2,0.9,1.1,2.1,0.6,0.2,1.0,1.2,3.5,,2002-03
319.0,Danny Fortson (2002-03),26.0,GSW,PF,17.0,0.0,13.1,1.2,3.2,0.37,0.0,0.1,0.0,1.2,3.1,0.377,0.37,1.1,1.7,0.655,1.6,2.6,4.3,0.7,0.5,0.0,0.9,2.5,3.5,,2002-03
320.0,Brian Shaw (2002-03),36.0,LAL,PG,72.0,0.0,12.5,1.4,3.6,0.387,0.5,1.5,0.349,0.9,2.1,0.414,0.46,0.1,0.2,0.667,0.3,1.4,1.7,1.4,0.4,0.2,0.8,0.9,3.5,,2002-03
321.0,Kenny Satterfield (2002-03),21.0,2TM,PG,39.0,6.0,12.9,1.4,4.7,0.301,0.1,0.7,0.179,1.3,4.0,0.323,0.314,0.4,0.6,0.68,0.4,0.7,1.1,1.7,0.5,0.1,1.1,0.9,3.4,,2002-03
321.0,Kenny Satterfield (2002-03),21.0,DEN,PG,22.0,6.0,19.1,2.3,7.5,0.309,0.2,1.3,0.179,2.1,6.2,0.336,0.324,0.7,1.0,0.696,0.5,1.0,1.6,2.4,0.8,0.1,1.6,1.4,5.6,,2002-03
